dataset,model,repeat,fold,true_clean_pred_clean,true_clean_pred_defect,true_defect_pred_clean,true_defect_pred_defect,plot
kc2,Random Forest,1,3,79,4,14,7,public_dataset_output/results/confusion_matrices/kc2/random_forest/repeat_01_fold_03.png
kc2,Random Forest,1,4,80,3,12,9,public_dataset_output/results/confusion_matrices/kc2/random_forest/repeat_01_fold_04.png
kc2,Random Forest,1,5,77,6,12,9,public_dataset_output/results/confusion_matrices/kc2/random_forest/repeat_01_fold_05.png
kc2,Random Forest,2,1,76,7,16,6,public_dataset_output/results/confusion_matrices/kc2/random_forest/repeat_02_fold_01.png
kc2,Random Forest,2,2,72,11,8,14,public_dataset_output/results/confusion_matrices/kc2/random_forest/repeat_02_fold_02.png
kc2,Random Forest,2,3,77,6,12,9,public_dataset_output/results/confusion_matrices/kc2/random_forest/repeat_02_fold_03.png
kc2,Random Forest,2,4,80,3,10,11,public_dataset_output/results/confusion_matrices/kc2/random_forest/repeat_02_fold_04.png
kc2,Random Forest,2,5,81,2,9,12,public_dataset_output/results/confusion_matrices/kc2/random_forest/repeat_02_fold_05.png
kc2,SVM,1,1,81,2,14,8,public_dataset_output/results/confusion_matrices/kc2/svm/repeat_01_fold_01.png
kc2,SVM,1,2,82,1,10,12,public_dataset_output/results/confusion_matrices/kc2/svm/repeat_01_fold_02.png
kc2,SVM,1,3,82,1,18,3,public_dataset_output/results/confusion_matrices/kc2/svm/repeat_01_fold_03.png
kc2,SVM,1,4,83,0,15,6,public_dataset_output/results/confusion_matrices/kc2/svm/repeat_01_fold_04.png
kc2,SVM,1,5,80,3,17,4,public_dataset_output/results/confusion_matrices/kc2/svm/repeat_01_fold_05.png
kc2,SVM,2,1,82,1,16,6,public_dataset_output/results/confusion_matrices/kc2/svm/repeat_02_fold_01.png
kc2,SVM,2,2,78,5,13,9,public_dataset_output/results/confusion_matrices/kc2/svm/repeat_02_fold_02.png
kc2,SVM,2,3,83,0,16,5,public_dataset_output/results/confusion_matrices/kc2/svm/repeat_02_fold_03.png
kc2,SVM,2,4,82,1,13,8,public_dataset_output/results/confusion_matrices/kc2/svm/repeat_02_fold_04.png
kc2,SVM,2,5,83,0,14,7,public_dataset_output/results/confusion_matrices/kc2/svm/repeat_02_fold_05.png
kc2,Logistic Regression,1,1,74,9,14,8,public_dataset_output/results/confusion_matrices/kc2/logistic_regression/repeat_01_fold_01.png
kc2,Logistic Regression,1,2,79,4,11,11,public_dataset_output/results/confusion_matrices/kc2/logistic_regression/repeat_01_fold_02.png
kc2,Logistic Regression,1,3,81,2,13,8,public_dataset_output/results/confusion_matrices/kc2/logistic_regression/repeat_01_fold_03.png
kc2,Logistic Regression,1,4,79,4,12,9,public_dataset_output/results/confusion_matrices/kc2/logistic_regression/repeat_01_fold_04.png
kc2,Logistic Regression,1,5,79,4,15,6,public_dataset_output/results/confusion_matrices/kc2/logistic_regression/repeat_01_fold_05.png
kc2,Logistic Regression,2,1,80,3,14,8,public_dataset_output/results/confusion_matrices/kc2/logistic_regression/repeat_02_fold_01.png
kc2,Logistic Regression,2,2,73,10,10,12,public_dataset_output/results/confusion_matrices/kc2/logistic_regression/repeat_02_fold_02.png
kc2,Logistic Regression,2,3,80,3,16,5,public_dataset_output/results/confusion_matrices/kc2/logistic_regression/repeat_02_fold_03.png
kc2,Logistic Regression,2,4,82,1,11,10,public_dataset_output/results/confusion_matrices/kc2/logistic_regression/repeat_02_fold_04.png
kc2,Logistic Regression,2,5,80,3,13,8,public_dataset_output/results/confusion_matrices/kc2/logistic_regression/repeat_02_fold_05.png
kc3,Random Forest,1,1,80,3,7,2,public_dataset_output/results/confusion_matrices/kc3/random_forest/repeat_01_fold_01.png
kc3,Random Forest,1,2,81,2,8,1,public_dataset_output/results/confusion_matrices/kc3/random_forest/repeat_01_fold_02.png
kc3,Random Forest,1,3,81,2,7,2,public_dataset_output/results/confusion_matrices/kc3/random_forest/repeat_01_fold_03.png
kc3,Random Forest,1,4,82,1,7,1,public_dataset_output/results/confusion_matrices/kc3/random_forest/repeat_01_fold_04.png
kc3,Random Forest,1,5,82,1,8,0,public_dataset_output/results/confusion_matrices/kc3/random_forest/repeat_01_fold_05.png
