dataset,model,split_index,repeat,fold,train_size,test_size,fit_seconds,predict_seconds,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc
ar6,SVM,1,1,1,80,21,0.0043763329999997325,0.0021139590000007757,0.8571428571428571,0.5,0.0,0.0,0.0,0.8703703703703703,0.4666666666666667,0.0
ar6,SVM,2,1,2,81,20,0.0044988339999996185,0.002234416999999489,0.85,0.5,0.0,0.0,0.0,0.6078431372549019,0.3833333333333333,0.0
ar6,SVM,3,1,3,81,20,0.003947625000000343,0.0020205410000002644,0.9,0.6666666666666666,1.0,0.3333333333333333,0.5,0.7843137254901961,0.5833333333333333,0.5461186812727502
ar6,SVM,4,1,4,81,20,0.004147958999999979,0.0020972919999993067,0.85,0.5,0.0,0.0,0.0,0.29411764705882354,0.17037037037037037,0.0
ar6,SVM,5,1,5,81,20,0.004239625000000302,0.002028000000000141,0.9,0.6666666666666666,1.0,0.3333333333333333,0.5,0.3333333333333333,0.1489010989010989,0.5461186812727502
ar6,SVM,6,2,1,80,21,0.003963375000000546,0.0019762500000002348,0.8571428571428571,0.5,0.0,0.0,0.0,0.12962962962962965,0.10834779255831888,0.0
ar6,SVM,7,2,2,81,20,0.00416175000000063,0.0020903749999998666,0.9,0.6666666666666666,1.0,0.3333333333333333,0.5,0.8431372549019608,0.6555555555555554,0.5461186812727502
ar6,SVM,8,2,3,81,20,0.004047207999999358,0.0019798329999991537,0.85,0.5,0.0,0.0,0.0,0.8235294117647058,0.5694444444444444,0.0
ar6,SVM,9,2,4,81,20,0.004033958000000837,0.0018715419999999483,0.9,0.6666666666666666,1.0,0.3333333333333333,0.5,0.6666666666666666,0.5555555555555556,0.5461186812727502
ar6,SVM,10,2,5,81,20,0.003964625000000055,0.001966666999999589,0.85,0.5,0.0,0.0,0.0,0.5294117647058824,0.2444444444444444,0.0
ar6,Logistic Regression,1,1,1,80,21,0.00987733400000046,0.0020899999999999253,0.8095238095238095,0.611111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7962962962962963,0.5444444444444444,0.2222222222222222
ar6,Logistic Regression,2,1,2,81,20,0.007343624999999854,0.0018486250000000481,0.85,0.5,0.0,0.0,0.0,0.4313725490196078,0.16993464052287582,0.0
ar6,Logistic Regression,3,1,3,81,20,0.009262624999999858,0.001904709000000615,0.9,0.6666666666666666,1.0,0.3333333333333333,0.5,0.9803921568627451,0.9166666666666665,0.5461186812727502
ar6,Logistic Regression,4,1,4,81,20,0.008347665999999698,0.002028000000000141,0.9,0.6666666666666666,1.0,0.3333333333333333,0.5,0.8235294117647058,0.6464646464646464,0.5461186812727502
ar6,Logistic Regression,5,1,5,81,20,0.007094291999999669,0.0018107909999995897,0.95,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9803921568627451,0.9166666666666665,0.7934920476158722
ar6,Logistic Regression,6,2,1,80,21,0.010416333999999416,0.0021183750000002277,0.8571428571428571,0.6388888888888888,0.5,0.3333333333333333,0.4,0.9074074074074074,0.6984126984126984,0.33113308926626095
ar6,Logistic Regression,7,2,2,81,20,0.008797915999999795,0.0022330419999994078,0.95,0.8333333333333333,1.0,0.6666666666666666,0.8,1.0,1.0,0.7934920476158722
ar6,Logistic Regression,8,2,3,81,20,0.008704292000000002,0.001983083999999913,0.85,0.5,0.0,0.0,0.0,0.5490196078431372,0.21536796536796537,0.0
ar6,Logistic Regression,9,2,4,81,20,0.00840216699999985,0.0018419999999998993,0.95,0.8333333333333333,1.0,0.6666666666666666,0.8,0.7254901960784313,0.7254901960784313,0.7934920476158722
ar6,Logistic Regression,10,2,5,81,20,0.010097040999999862,0.0017975410000001801,0.8,0.47058823529411764,0.0,0.0,0.0,0.5098039215686274,0.22857142857142854,-0.09637388493048533
kc1,Random Forest,1,1,1,1687,422,0.16926070800000037,0.013547667000000096,0.8601895734597157,0.6279465632406809,0.59375,0.2923076923076923,0.3917525773195876,0.8301228183581125,0.4866547483068273,0.34893305611240505
kc1,Random Forest,2,1,2,1687,422,0.17088229100000074,0.013307958000000397,0.8554502369668247,0.6062702003878475,0.5714285714285714,0.24615384615384617,0.34408602150537637,0.8231415643180349,0.44110759580858344,0.3082514690144074
kc1,Random Forest,3,1,3,1687,422,0.18002541699999952,0.013717416999999621,0.8625592417061612,0.6545141133376428,0.5897435897435898,0.35384615384615387,0.4423076923076923,0.8343675931911226,0.5395483939642728,0.38517425002806266
kc1,Random Forest,4,1,4,1687,422,0.17134145800000056,0.014432291999999514,0.8601895734597157,0.6394279877425945,0.6,0.3181818181818182,0.4158415841584158,0.8462504256043583,0.4966115475624,0.36727165948736507
kc1,Random Forest,5,1,5,1688,421,0.2277823329999995,0.013494290999998881,0.8574821852731591,0.6516421780466725,0.5609756097560976,0.35384615384615387,0.4339622641509434,0.7875324114088158,0.4501819819934603,0.36961361456711705
kc1,Random Forest,6,2,1,1687,422,0.1658560419999997,0.013001792000000734,0.8436018957345972,0.6118508942038354,0.4864864864864865,0.27692307692307694,0.35294117647058826,0.8037060978237449,0.4640765997756998,0.28551505664197074
kc1,Random Forest,7,2,2,1687,422,0.1729263329999995,0.013127624999999199,0.8720379146919431,0.6538246067657832,0.6666666666666666,0.3384615384615385,0.4489795918367347,0.8262227968110322,0.5393041703761163,0.41363266200368226
kc1,Random Forest,8,2,3,1687,422,0.1666430830000003,0.01332433299999991,0.8601895734597157,0.6468218056453351,0.5789473684210527,0.3384615384615385,0.42718446601941745,0.8338720103425986,0.504940131514237,0.37030018784908564
