dataset,model,n_folds,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,mcc_mean,mcc_std,mcc_ci95_low,mcc_ci95_high,fit_seconds_mean,predict_seconds_mean
ar5,Random Forest,10,0.8178571428571428,0.11928547666547952,0.7325254533403811,0.9031888323739046,0.7550000000000001,0.20169803857606572,0.6107139151803089,0.8992860848196913,0.55,0.3853009085422156,0.27437233419074436,0.8256276658092557,0.65,0.4116363011742823,0.355533129199481,0.944466870800519,0.55,0.3330554397182636,0.31174649112055697,0.7882535088794431,0.9316666666666666,0.10612419930916957,0.8557499877983692,1.0,0.8333333333333334,0.23570226039551584,0.6647220936023391,1.0,0.4823228605145461,0.37904720120837215,0.21116882743458526,0.7534768935945069,0.05456600420000006,0.007760079299999933
ar5,SVM,10,0.8017857142857142,0.13894698331498817,0.7023890302050908,0.9011823983663376,0.6633333333333333,0.2132638775824014,0.5107735457069106,0.8158931209597561,0.3666666666666667,0.4567734398020993,0.0399106320321857,0.6934227013011477,0.4,0.45946829173634074,0.07131618442374343,0.7286838155762566,0.35666666666666663,0.4193027722479483,0.056715532839040794,0.6566178004942924,0.8949999999999999,0.1714228761546597,0.7723714616983801,1.0,0.8676190476190475,0.18858585803378827,0.7327128517028404,1.0,0.3217345284416537,0.4247869944926975,0.01786021835727164,0.6256088385260357,0.003910079000000089,0.0020609334000000422
ar6,Logistic Regression,10,0.8816666666666666,0.05692252495556309,0.840946745333411,0.9223865879999222,0.6553921568627451,0.14139091559556868,0.5542471889474405,0.7565371247780497,0.5833333333333334,0.4664682117707407,0.2496420766191026,0.9170245900475642,0.3333333333333333,0.2721655269759087,0.1386378440391612,0.5280288226275054,0.4133333333333333,0.3304318162423001,0.1769566516261338,0.6497100150405327,0.7703703703703704,0.21003969002740802,0.6201170275776138,0.920623713163127,0.6062019353195824,0.30942713131494237,0.3848511000332775,0.8275527706058874,0.3929694931951115,0.35110138701770893,0.14180669128990853,0.6441322951003144,0.008834329199999847,0.0019656166999999945
ar6,Random Forest,10,0.8616666666666667,0.0377539273785111,0.8346591339882665,0.8886741993450669,0.5746732026143792,0.09178828548947741,0.5090118187006522,0.6403345865281062,0.45,0.4972144630058767,0.09431420013146224,0.8056857998685378,0.16666666666666666,0.17568209223157663,0.04099126873032785,0.2923420646030055,0.24,0.2547329756605707,0.057775006678251056,0.4222249933217489,0.6569716775599128,0.15511326378239554,0.5460103331027851,0.7679330220170405,0.42389151970034317,0.18638877625366865,0.2905570214085658,0.5572260179921205,0.23235457668495235,0.2939143931944981,0.02210088574389585,0.44260826762600886,0.05827358329999992,0.00837521670000001
ar6,SVM,10,0.8714285714285716,0.024743582965269705,0.8537280784754704,0.8891290643816727,0.5666666666666667,0.08606629658238703,0.5050985470336155,0.6282347862997179,0.4,0.5163977794943223,0.030591282201692604,0.7694087177983074,0.13333333333333333,0.17213259316477408,0.010197094067230891,0.25646957259943576,0.2,0.25819888974716115,0.015295641100846302,0.3847043588991537,0.588235294117647,0.260380233645832,0.40197049579624355,0.7745000924390504,0.38859525951631213,0.20555864553229428,0.24154746284917622,0.535643056183448,0.21844747250910007,0.28201447434961574,0.01670647069443093,0.4201884743237692,0.0041381292000001405,0.002037887599999877
kc1,Random Forest,10,0.8594156319302947,0.010069918760591007,0.8522120460021644,0.866619217858425,0.6330169934713887,0.02045463389330786,0.6183846298563478,0.6476493570864297,0.5924127324760529,0.07624167309874548,0.5378727251007599,0.6469527398513458,0.3052913752913753,0.04173095328113392,0.2754388496682394,0.3351439009145112,0.40091745032074727,0.043641350274326446,0.3696983090153517,0.4321365916261428,0.8241213465428601,0.018545494736815858,0.8108546988079084,0.8373879942778117,0.4920556749377233,0.045854803299709986,0.45925312472453883,0.5248582251509077,0.35486783465880395,0.04962842635267264,0.31936579713408586,0.39036987218352204,0.17631147070000006,0.013502858299999776
kc1,Logistic Regression,10,0.8560930305861693,0.0055896903074066865,0.8520944070224298,0.8600916541499087,0.5914699345598222,0.014003329383704332,0.5814525561783599,0.6014873129412845,0.603056259472668,0.06379821419128058,0.5574177663612122,0.6486947525841239,0.20846153846153848,0.02971924877979948,0.18720166860612336,0.2297214083169536,0.3085152592698299,0.034957980092442616,0.2835078267912982,0.33352269174836163,0.8010282496749781,0.01986143382865479,0.7868202358228195,0.8152362635271367,0.46843769286483317,0.037500615341685445,0.4416113687013462,0.4952640170283201,0.2936511436449787,0.03588435332643084,0.26798102367599075,0.3193212636139666,0.021114483400000238,0.002215370800000471
kc1,SVM,10,0.8487436818227871,0.004841701918236272,0.8452801369188399,0.8522072267267344,0.5539140755697266,0.011289347004774356,0.5458381632257625,0.5619899879136907,0.5514574314574315,0.07933584855685828,0.4947039842998379,0.6082108786150252,0.12717948717948718,0.024240979774869106,0.1098385348896109,0.14452043946936347,0.20556154429461113,0.033077214901575,0.18189953018390903,0.22922355840531322,0.7061754669652885,0.028691994391911283,0.685650450630456,0.726700483300121,0.4105972387587741,0.03420726107950643,0.386126838310603,0.43506763920694513,0.20977752886189932,0.03649496718225575,0.18367060205425484,0.2358844556695438,0.17802004170000033,0.022013108400000193
kc2,Random Forest,10,0.8362912087912088,0.03283389687319802,0.8128032539124576,0.85977916366996,0.7057854795806603,0.05861545156764656,0.6638545115041192,0.7477164476572014,0.6428789543789544,0.12089720202704908,0.5563943059942373,0.7293636027636714,0.48506493506493503,0.12632836878438097,0.39469506403278626,0.5754348060970838,0.5437423111116451,0.10250644801670669,0.4704136156145592,0.6170710066087309,0.8174229385072758,0.06356106326141574,0.7719540929512603,0.8628917840632913,0.6218211355584545,0.09909782191337649,0.550930824284318,0.692711446832591,0.45952207259667865,0.11536996518746795,0.3769913712561891,0.5420527739371682,0.07663975829999999,0.008590779200000042
kc2,Logistic Regression,10,0.8353021978021978,0.029509046071366677,0.8141926979059176,0.856411697698478,0.6722565587023418,0.04526864621659495,0.6398733200065576,0.704639797398126,0.6830320170026052,0.12720797717610224,0.5920329120328733,0.774031121972337,0.3963203463203463,0.09445020414852583,0.3287547405106898,0.4638859521300028,0.49376191925184265,0.08974309680094784,0.42956357519050453,0.5579602633131808,0.8314270067282115,0.04397035928738166,0.7999725065531944,0.8628815069032285,0.6152131821363864,0.09656169227415326,0.54613710871415,0.6842892555586229,0.4298824347875665,0.10204285771207937,0.356885371816445,0.502879497758688,0.008039650100000096,0.0018822831999999678
